dahlah,sudahlah
tlpon,telepon
Bbrp,beberapa
"sesuai"" ,sesuai-sesuai"
u,kamu
doyan,suka
hati*,hati-hati
musti,harus
temen,teman
Oki,oke
trims,terimakasih
Sumpaa,sumpah
murce,murah
Wkwkw,wkwk
bagus*,bagus-bagus
dikonplen,di komplain
lighting,pencahayaan
WKSKWKS,wkwk
grgr,karena
waduuh,aduh
brati,berarti
purchase,pembelian
Sygnya,sayangnya
size,ukuran
Marketing,pemasaran
gopud,gofood
btull,betul
pagi2,pagi-pagi
Yaowlo,ya Allah
bnr,benar
prefer,mending
kack,kak
bcs,karena
big,besar
engeh,sadar
emat,emang
besar2an,besar-besaran
Napa,kenapa
mantul,mantap
best,terbaik
kaaa,kak
So far,sejauh ini
to the point,ke inti
bisabisanya,bisa-bisanya
puyeng,pusing
ngapa,kenapa
nyelem,nyelam
hestek,tagar
bgs, bagus
gk, tidak
ap, apa
ak, aku
drpd, daripada
spy, supaya
seruu, seru
mantappp,mantap
ngebug, lemot
ngotak, akal
memakn, makan
akuingintiktoksepertidulu,aku ingin tiktok seperti dulu
pokokintisari, pokok
perhati, perhatian
bgus,bagus
